27813	2	27815
6909	3	4179
34585	5	34586
34265	3	33405
34253	5	34265
33776	5	35777
27815	4	27442
36690	5	36763
23140	2	23102
34107	5	34115
35561	5	34585
27719	2	18950
33022	4	31661
35562	5	35588
27952	2	29225
37020	5	37021
34734	5	34735
14675	5	14683
34107	5	34223
28701	2	28711
36435	5	36436
27815	4	27261
35041	5	35042
13725	5	13736
35777	5	35806
28524	2	28923
34735	5	34742
34115	5	34157
26342	4	27023
26342	4	4179
28386	2	29307
35777	5	35801
32749	9	26419
32749	4	31627
26607	5	27936
28100	2	28809
33619	5	33700
28701	2	28708
32585	4	30516
35588	5	35619
31627	3	29628
10907	5	10911
34522	5	34523
33022	1	16690
27813	4	27261
31663	3	29813
27719	4	27531
26617	5	27649
27535	2	28124
34326	5	34327
13333	5	13365
34253	5	34522
31578	3	31903
15896	3	15050
14683	5	14695
27719	2	27744
34253	5	34326
34052	5	34053
30784	1	21684
5010	10	5768
9328	5	9329
33864	5	33865
27719	2	27745
7208	2	7100
13290	1	32143
8893	5	8895
8295	5	8938
34930	5	34931
37485	5	37539
23215	2	23953
27770	2	27782
28334	2	29369
26617	5	27641
8404	5	8640
32770	4	31903
21023	2	21029
15605	3	15597
26861	5	28359
21517	2	21537
33588	5	34734
12311	3	12208
30537	3	32522
22044	1	29961
29415	1	4270
32736	4	31578
32587	4	30170
7260	2	7079
32770	4	30514
27559	2	27681
27770	2	27773
27952	2	29218
28465	2	28464
28858	4	29197
16690	1	33022
26917	2	26918
22517	3	22516
23145	2	23110
7210	2	7096
22563	3	22562
17721	3	17161
28020	2	28026
26419	3	26418
32736	4	30514
7208	2	7195
28053	2	28986
22124	3	22121
29937	3	31220
40844	3	40562
29961	1	22044
29404	4	29401
30040	1	9932
28053	2	29053
11732	1	18165
28726	2	28736
26418	5	29628
29053	2	28986
32674	4	31494
27773	2	27775
9643	5	9646
36690	5	36910
40696	3	40694
10202	5	10206
29306	2	28992
28739	2	28744
11010	5	11097
17323	2	17478
26617	5	27644
28739	2	28743
28864	2	27188
34253	5	34361
30516	3	32281
11460	5	11483
11010	5	11040
3919	3	5174
34479	5	34480
15254	10	15760
29352	2	29236
28444	2	28449
27535	4	27346
27593	2	27604
19747	1	4147
27640	2	27648
9935	1	30040
35417	5	35448
26513	2	26536
29629	3	29628
3368	3	3355
4806	3	4808
26610	5	27714
9329	5	9343
32932	4	31443
27149	3	27148
34253	5	34479
28032	2	28045
27604	2	27605
28130	2	19415
28203	5	29662
3358	3	3352
6855	3	5346
28638	2	28637
27587	2	27591
27528	3	27261
28583	2	28591
34253	5	34255
34931	5	34967
36135	5	33776
20455	3	20454
33446	5	33484
13736	5	13858
13736	5	13848
27574	5	29664
36567	5	36576
28271	2	28272
36241	5	36242
29121	4	28962
32131	3	32130
28593	2	28600
7520	3	7509
24804	3	24803
28479	2	29143
32611	4	31105
12377	3	12374
23102	4	23028
29121	2	29123
29877	1	6588
30170	3	30062
5255	3	5700
29575	3	29570
6167	3	6164
11546	0	8550
1251	1	8657
10737	3	10693
37837	5	37816
29218	2	29295
28170	2	29059
7260	2	7059
12166	3	12165
34253	5	34576
27802	2	27809
11189	0	6799
23106	9	23140
26879	5	30333
28218	2	28219
26735	3	26728
32558	4	29706
23967	7	15911
28124	4	27534
16461	1	30161
28032	2	28033
28032	2	28049
29404	1	11982
5185	3	22677
5206	3	5204
28235	2	28242
16361	3	15911
34734	5	34868
2690	3	2681
35079	5	35096
16549	1	3266
27941	2	27942
6657	3	24976
28054	2	28055
2697	3	2681
16203	3	18128
6084	3	6076
28508	2	28510
28064	2	29111
34253	5	34535
7263	5	10693
25277	3	25276
36910	5	36921
33269	3	33268
30575	1	22578
30577	3	31889
27694	5	29749
38674	2	33198
26752	3	26748
32587	4	32281
32389	3	29923
6676	3	6671
18344	3	19440
18118	3	19273
28332	2	28331
30082	3	30316
29215	2	29216
2686	3	2681
7872	5	7877
34930	5	35002
35416	5	35417
28512	2	28514
22437	1	16765
28487	2	29306
14958	5	14963
16361	9	23968
1178	1	2711
28386	2	28402
1705	3	1703
27906	2	28760
18021	1	1860
28098	2	28119
3338	3	3339
9782	1	23229
13081	3	13073
27928	4	27472
20455	1	10688
1783	1	5706
1761	3	3166
28321	2	28325
32554	4	30516
22050	1	3505
10370	5	10372
27567	2	28211
31443	3	31487
15715	1	5546
27687	4	27531
25292	1	15777
26419	5	29629
13365	5	13430
36676	5	36677
32068	3	30322
26825	3	26179
29054	2	29097
22297	3	22279
27604	2	27607
32611	4	31619
29404	1	2050
28183	5	29703
